QID,Filename,Start Frame,End Frame,Question,Answer,Explanation
635,S01E18,5875,6240,Why did Jerry throw a pie at Tom?,Jerry was angry.,Jerry was taking revenge after Tom light tom's butt on fire.
636,S01E18,6240,6560,Why did Toots throw pies at Tom?,Toots was angry.,Toots was angry from being hit by a pie thrown by Tom.
637,S01E18,6535,6755,Why did Tom open his mouth?,Tom wanted Jerry to run into tom's mouth.,Tom wanted to eat Jerry to get rid of him.
638,S01E18,6615,6700,Why did jerry jump up?,Jerry was shocked,Jerry was shocked that jerry was going to be eaten by tom
639,S01E18,6700,7200,Why did Tom poke knives into the chicken?,Tom wanted to hurt Jerry who was hiding in the chicken.,Tom wanted to take revenge for Jerry hitting him.
640,S01E18,6800,7400,Why did Tom look confused?,Tom heard noises beside tom.,Tom did not expect to see Jerry alive after stabbing Jerry and hearing Jerry's screams.
641,S01E18,7780,7960,Why did Tom look scared and run away?,Jerry was holding a sharp glass bottle towards Tom.,Tom did not want to be hurt by the sharp glass bottle.
642,S01E18,7960,8180,Why did Tom open his mouth widely?,Tom wanted Jerry to throw the desserts into tom's mouth.,Tom was excited to eat the desserts Jerry was throwing.
643,S01E18,8460,9190,Why did Tom smile?,Tom was relieved.,Tom thought that he had put his tail in the bucket of ice and put out the fire.
644,S01E18,8460,9645,Why did Tom look shocked?,Tom realised his tail was still on fire.,Tom thought that he had already put out the fire using ice and did not expect his tail to still be on fire.
645,S01E18,9500,9800,Why did Toots and Jerry both run?,Toots and Jerry saw Tom falling towards them.,Toots and Jerry wanted to avoid the pain and impact of Tom falling on top of them.
646,S01E19,2132,2249,Why did Jerry look surprised?,Jerry lost balance,The trolley that Jerry was riding suddenly tilted forwards causing Jerry to be surprised and made Jerry lose balance and fall off 
647,S01E19,2214,2605,Why was Jerry running?,Jerry was trying to get out of being stuck,Jerry's tail was stuck in the bubblegum and Jerry could not move so Jerry was running to try to get out
648,S01E19,2300,2572,Why did Jerry look back?,Jerry was curious why he could not move,Jerry was stuck in the bubblegum and Jerry could not move so Jerry looked back to see what he was stuck in
649,S01E19,2632,2915,Why was Jerry's face black?,Jerry got dipped into the black shoe polish.,"The cobbler mistook Jerry on the table as a brush, and used Jerry to dip into the shoe polish to polish the shoe."
650,S01E19,2925,3379,Why did Jerry keep rotating his head?,Jerry wanted to look around,Jerry's surroundings were really big and Jerry was in a new place so Jerry was rotating his head to look around and explore
651,S01E19,3333,3456,Why did Jerry fall down?,Jerry knocked into someone,Jerry was running and did not look in front so Jerry accidentally ran into someone's shoes and fell down
652,S01E19,3333,3478,Why did Jerry look up?,Jerry wanted to see what he ran into,Jerry was running and knocked into something so Jerry looked up to see what he knocked into
653,S01E19,3542,3745,Why did Jerry look at the person's toe nail?,The person's toe nail caught Jerry's attention,Jerry used the toenail to check himself out.
654,S01E19,3712,3855,Why was Jerry flailing his arms?,Jerry did not expect a drop ,Jerry was walking and suddenly walked off a ledge without knowing which surprised Jerry
655,S01E19,4044,4214,Why did Jerry jump up and down?,Jerry was excited,Jerry saw a bunch of women and got excited which made Jerry jump up and down
656,S01E19,4049,4339,Why was Jerry waving his hand?,Jerry was waving goodbye to the women,Jerry was moving away from the women and wanted to say goodbye to them to bid them farewell
657,S01E19,4400,4538,Why was Jerry surprised?,Jerry just saw the vehicles moving towards him,Jerry just saw the vehicles moving towards him and Jerry was afraid of being crashed by the vehicles
658,S01E19,4400,4690,Why was Jerry running?,Jerry did not want to get hurt,There was a vehicle behind Jerry and Jerry did not want to get run over by the vehicle and get hurt
659,S01E19,5265,5480,Why did Jerry's face turn red?,Jerry felt shy.,Jerry felt shy as he accidentally entered the powder room.
660,S01E19,5600,5815,Why was Jerry surprised?,The top hat suddenly compressed,The top hat that Jerry was standing on suddenly compressed and made Jerry lose balance and fall down 
661,S01E19,6787,6868,Why did Jerry climb the candle?,Jerry wanted to get to a higher point,Jerry climbed the candle to get to a higher point so that Jerry could get a better view 
662,S01E19,6799,6998,Why did Jerry hug the candle?,The candle tilted and started to fall while Jerry was on it.,Jerry grabbed the candle to avoid falling off the candle and off the building.
663,S01E19,6799,7173,Why did Jerry gulp?,Jerry was scared,Jerry looked down and saw how high up he was and was scared of falling down.
664,S01E19,6799,7366,Why did Jerry put both of his hands out?,Jerry wanted to balance on the candle,Jerry was trying to get back up and did not want to lose balance and fall so Jerry put both hands out to try to balance
665,S01E19,6799,7580,Why did Jerry hug the candle?,Jerry wanted to hold on to the candle,The candle was breaking into half so  Jerry quickly hugged the candle to hold on to it to avoid falling
666,S01E19,6866,7620,Why did Jerry climb the string?,Jerry did not want to fall,Jerry wanted to go back to the table before the candle fell down
667,S01E19,6799,7769,Why did Jerry hug the glass?,Jerry was scared,Jerry almost fell off a very high place and was scared so Jerry hugged onto the glass to feel relief
668,S01E19,7521,7950,Why did Jerry touch his head?,Jerry realised his hat was missing,Jerry felt that his hat was not on his head anymore while Jerry left the hat on the toy
669,S01E19,7568,7952,Why was Jerry smiling?,Jerry was happy to get  his hat back,Jerry thought that his hat was lost but in the end Jerry found it so Jerry was happy
670,S01E19,8725,9080,Why did Jerry get shot off the building?,Jerry got shot off by a bottle of fizzing champagne.,"Jerry had ice skated onto a champagne bottle, pushing the cork in and caused the champagne bottle to pop Jerry out of the building."
671,S01E19,8811,8899,Why did Jerry hold onto the hat?,Jerry did not want to lose his hat.,Jerry was shaking a lot so Jerry held onto the hat to prevent the hat from falling off
672,S01E19,8846,9212,Why did Jerry hold onto the sock?,Jerry wanted to use the sock as a parachute,Jerry was falling from a very high place so Jerry held onto the sock to use it as a parachute to break the fall to avoid getting hurt
673,S01E19,9128,9312,Why did Jerry shake his body?,Jerry wanted to be dry,Jerry fell in a puddle of water and was wet so Jerry shook his body to shake all of the water off to be dry
674,S01E19,9128,9479,Why did Jerry sneeze?,Jerry had a cold,Jerry fell into a puddle of water and was really wet so Jerry caught a cold and sneezed because of it
675,S01E19,9473,9576,Why did Jerry stumble back?,Jerry was scared.,Jerry saw a bunch of eyes staring at him in the darkness which made him scared
676,S01E19,9570,9665,Why did Jerry jump up?,A cat ambushed Jerry from behind,Jerry did not expect a cat to ambush Jerry from behind while baring its fangs.
677,S01E19,9473,9745,Why was Jerry running?,Jerry wanted to run away from the cats,The place where Jerry was at before had a lot of cats so Jerry ran away to avoid getting eaten by the cats
678,S01E19,9622,9781,Why did Jerry run into the trash can?,Jerry did not see the trash can in front,"Jerry was looking back while running away as he was being chased, so Jerry did not see the trash can and ran into it"
679,S01E19,9622,9850,Why was Jerry running on the trash can?,Jerry wanted to avoid falling off the trash can,The trash can Jerry was on was rolling so Jerry had to run on the trash can to balance and avoid falling down and getting hurt
680,S01E19,10095,10215,Why was Jerry look shocked?,Jerry saw the projectiles coming towards him,Jerry saw the projectiles flying towards him and did not want to get hurt
681,S01E19,10095,10359,Why was Jerry running?,Jerry wanted to avoid getting hurt,Jerry wanted to run away from the projectiles so that none of them would hit Jerry and Jerry would not get hurt
682,S01E19,11172,11366,Why did Tom look confused?,Jerry started kissing Tom.,Tom was sleeping soundly when Jerry started kissing Tom a lot which made Tom really confused
683,S01E19,10400,10650,Why did Jerry run in the other direction?,Jerry wanted to run away from the express train.,Jerry was on the railway while the express train was running towards jerry so Jerry ran to avoid being crushed
684,S01E20,805,1160,Why was Tom in a hole on the ground?,Tom's golf club kept digging deeper in the hole.,Tom was playing golf and kept failing at hitting the ball out of the hole.
685,S01E20,1260,1380,Why did Tom have a shocked expression?,Tom saw the ball bounce out of the hole after falling in.,Tom expected to win the game after the ball rolled into the hole but did not expect the ball to bounce out of the hole.
686,S01E20,1318,1560,why did tom lift the lawn?,Tom wanted to change directions of the rolling ball so that it would land inside the golf hole.,Tom wanted to manipulate the ball in order to win the golf game.
687,S01E20,1670,1968,why did the ball bounce out of the hole,because jerry was in the hole and he pushed the golf ball out.,because jerry was annoyed by the ball that tom hit into the hole and pushed the ball out.
688,S01E20,1670,1870,Why did Tom poke the hole with the golf club?,Tom wanted to force the golf ball into the hole.,Tom was annoyed that the golf ball bounced out multiple times and wanted to force the ball in.
689,S01E20,1870,2095,why did jerry draw a dot on the ball,Jerry saw the golf ball on Tom's eye and wanted to draw an eyeball.,Jerry was being mischievous and wanted to make fun of Tom who got hit by the ball.
690,S01E20,2095,2210,Why was the golf club wrapped around Tom's neck?,Tom swung the golf club with a great force.,"Tom wanted to hit Jerry and missed, causing the golf club to wrap around Tom instead."
691,S01E20,2210,2459,Why did Tom hit the golf ball at Jerry?,Tom wanted to knock Jerry out as Jerry was running away.,Tom was annoyed at Jerry's actions and wanted to catch Jerry to take revenge.
692,S01E20,2470,2835,Why did Tom hit Jerry into the ground?,Tom wanted to use Jerry as the tee.,Tom had caught Jerry and wanted to make Jerry work for Tom as revenge.
693,S01E20,2590,2835,Why did Jerry gulp?,Jerry knew that Tom was about to swing the golf club at Jerry.,Jerry was scared of the impact from Tom's golf club.
694,S01E20,3025,3345,why did jerry spray water on tom's face,Jerry wanted to annoy Tom by spitting water at Tom.,Jerry wanted to take revenge on Tom who had dunked Jerry into a ball cleaner.
695,S01E20,3370,3695,Why was there a hole in Tom's teeth?,The golf ball hit and went through Tom's teeth.,Tom hit the golf ball which bounced off a rock and flew straight back at Tom's teeth.
696,S01E20,4405,4770,Why did Jerry swap the golf ball for an egg?,Jerry wanted Tom to hit the egg instead of the golf ball.,Jerry wanted to annoy Tom by causing Tom to hit and crack an egg.
697,S01E20,4405,4969,why did the woodpecker peck tom's head,The woodpecker wanted to inflict pain on Tom.,The woodpecker was annoyed at Tom who had hit the egg the woodpecker was in.
698,S01E20,4965,5100,why did the club head fall and hit tom's head,because the woodpecker ate the stick between the club head and handle.,The woodpecker pecked the golf stick to stop Tom who was trying to hit the woodpecker.
699,S01E20,5130,5335,Why was Jerry laughing?,Jerry was laughing at Tom who failed to hit the golf ball.,Jerry was amused that Tom had fallen for Jerry's trick of cutting the golf ball.
700,S01E20,5130,5470,Why did Tom put the ball over Jerry's head?,Tom wanted to shut Jerry up as Jerry was laughing at Tom.,Tom was annoyed that Jerry had cut the golf ball to trick Tom and wanted to hit Jerry.
701,S01E20,5410,5650,Why did tom blow Jerry?,Tom wanted Jerry to fall into the hole,Tom treated Jerry as the golf ball and wanted Jerry to fall into the hole to get score
702,S01E20,5545,5720,Why did Tom look around?,Tom wanted to push Jerry into the hole without being seen.,Tom did not want others to see him as a bully for intentionally pushing Jerry into the hole.
703,S01E20,6285,6635,Why did Jerry tie the golf club to Tom's tail?,Jerry wanted Tom to fly when Tom hits the golf club.,Jerry wanted to inflict pain on Tom by making Tom fly and fall.
704,S01E20,6675,6860,Why did Tom swallow the ball?,because tom opened the mouth just as the ball was coming,because jerry hit the ball and whacked tom's head to make tom scream as the ball rolled towards Tom's mouth.
705,S01E20,7052,7295,Why did Jerry run in the other direction?,Tom hit a ball which was going towards Jerry.,Jerry ran away from the ball as he did not want to get hit by the ball.
706,S01E20,7295,7370,Why did Jerry close his eyes.,Jerry saw Tom swinging the golf club at Jerry.,Jerry was afraid of the impact of hit from the golf club.
707,S01E20,7370,7915,why did tom dig a hole,because tom wanted to hide in the hole to avoid explosion,Tom was afraid of the pain from the ball explosion.
708,S01E20,7925,8065,Why was Tom poking the golf club into the tree hole?,Tom wanted to poke at Jerry and get Jerry out of the tree.,Tom wanted to get Jerry out of the tree to catch and inflict pain on Jerry.
709,S01E20,8280,8595,Why did Tom scream?,Tom realised that there was a swarm of bees on his head.,Tom was afraid of getting stung by the swarm of bees.
710,S01E20,8280,8653,Why did Tom dive into a bush?,Tom wanted to hide from the bees.,Tom was afraid of getting stung by the swarm of bees.
711,S01E20,8605,8778,Why did Jerry drive a lawnmower over the bush?,Jerry knew that Tom was hiding in the bush and wanted to get Tom out.,Jerry wanted to inflict pain on Tom by driving the lawnmower over Tom and causing Tom to lose hair.
712,S01E20,8778,8970,Why did Tom stick a straw out of the water?,because tom wanted to stay and breathe underwater,because tom hid underwater to avoid the bees
713,S01E20,8778,9100,why did jerry change the sign,because jerry wanted to point out the place where tom hid himself,Jerry wanted to direct the bees to towards Tom to inflict pain on Tom.
714,S01E20,9230,9720,Why did Tom scream?,Tom was in pain.,Tom was in pain from the bees who entered the straw to bite Tom's mouth.
715,S01E20,9780,10010,Why did Jerry hit the golf ball at Tom?,Jerry wanted to knock Tom out as Tom was running away.,Jerry wanted to inflict pain on Tom
716,S01E20,3040,3240,Why did tom wipe jerry?,Jerry became wet after Tom put Jerry inside the ball cleaner,Tom was treating Jerry as the golf ball to play with Jerry.
717,S01E21,545,1280,Why did Tom leave a trail of cheese?,Tom was trying to lure Jerry into a trap.,Tom was trying to lure Jerry into a trap so that Tom can eat Jerry.
718,S01E21,1200,1430,Why did Jerry look shocked?,Jerry saw Eagle flying towards Jerry.,Jerry did not expect to see Eagle coming to snatch the sandwich from Tom.
719,S01E21,1045,1370,Why did Tom have a confused look?,Tom realised that he took a bite of nothing.,Tom did not expect Jerry to disappear from his hands.
720,S01E21,1405,1570,Why did Jerry cover his eyes?,Jerry was scared.,Jerry was scared as he knew he was going to be eaten by Eagle.
721,S01E21,1530,1720,Why did Tom give Eagle a plate?,Tom wanted to snatch Jerry away from Eagle.,Tom gave the plate to Eagle to chomp on after stealing Jerry that Eagle was about to eat.
722,S01E21,1530,1690,Why did Eagle have a confused look?,Eagle realised that he bit a plate and not Jerry.,Eagle did not expect Jerry to disappear from his hands.
723,S01E21,1530,1795,Why did Tom and Eagle look at each other angrily?,Tom and Eagle were both fighting over eating Jerry.,Tom and Eagle were unwilling to give in to each other as they both wanted to eat Jerry.
724,S01E21,1690,2040,Why did Eagle hit and throw Tom to the ground?,Eagle wanted to get rid of Tom.,Eagle wanted to get rid of Tom in order to have Jerry all for himself.
725,S01E21,2140,2315,Why did Tom make loud noises?,Tom wanted to distract Eagle.,Tom wanted to distract Eagle so that Tom can attempt to take Jerry from Eagle.
726,S01E21,2475,2740,Why did Tom smile?,Tom had thought of a plan to get Jerry from Eagle.,Tom was excited to carry out his plan to steal Jerry.
727,S01E21,2740,3200,Why did Jerry spread mustard over himself?,Jerry wanted to use the slippery mustard to escape.,"Jerry wanted to appear helpful to Eagle to throw him off guard, before slipping out of the sandwich and escaping."
728,S01E21,2740,3135,Why did Eagle look confused?,Eagle realised that Jerry disappeared.,Eagle did not expect Jerry to disappear from the sandwich.
729,S01E21,3130,3360,Why did Eagle whistle?,Eagle wanted Jerry's attention.,Eagle wanted Jerry to return back to the sandwich.
730,S01E21,3630,3795,Why did Jerry kick Eagle in the eye?,Jerry was angry that Eagle tried to eat him.,Jerry wanted to escape by inflicting pain on Eagle.
731,S01E21,3800,4230,Why did Tom whistle at Eagle?,Tom wanted Eagle's attention.,Tom wanted to distract Eagle by disguising himself as a female bird so that Tom could steal Jerry.
732,S01E21,3800,4230,Why did Eagle's eyes pop out?,Eagle saw Tom disguised as a sexy bird.,Eagle was attracted to Tom as a sexy bird.
733,S01E21,4050,4465,Why did Tom walk in a sexy manner?,Tom wanted to attract Eagle.,"Tom knew that Eagle would be distracted, giving him a chance to steal Jerry."
734,S01E21,4580,4690,Why did Jerry pull Tom's towel?,Jerry wanted to remove the towel to expose Tom to Eagle.,Jerry wanted Eagle to be distracted by Tom's body so that Jerry had a chance to escape.
735,S01E21,4850,5335,Why was Tom running away from Eagle?,Eagle was trying to hug and kiss Tom.,Tom was trying to get away from Eagle's flirting after successfully stealing Jerry.
736,S01E21,5335,5725,Why did Tom beckon Eagle to come behind the wall?,Tom wanted to hit Eagle with a brick.,Tom wanted to knock Eagle out and get away from Eagle after successfully stealing Jerry.
737,S01E21,6795,7010,Why did Jerry shake Tom's hand?,Jerry wanted to throw Tom over Jerry's shoulder.,Jerry wanted to appear like Jerry was giving Tom a handshake to congratulate Tom before throwing Tom over Jerry's shoulder.
738,S01E21,7640,7890,Why did Eagle scream?,Eagle was screaming in joy after seeing Tom.,Eagle was attracted to Tom as a sexy bird and was excited to see Tom.
739,S01E21,7820,8045,Why did Eagle look shocked?,Eagle did not expect to see Jerry.,Eagle thought Eagle was kissing Tom and not Jerry.
740,S01E21,8045,8450,Why did Tom set up a kissing booth?,Tom wanted Eagle to give Jerry in exchange for a kiss.,Tom knew that Eagle would be enticed by the kissing booth and give Jerry in exchange for a kiss.
741,S01E21,8045,8495,Why was Eagle smiling?,Eagle was excited.,"Eagle was excited to get a kiss from Tom, whom Eagle was attracted to."
742,S01E21,8280,8495,Why did Tom use a plunger on Eagle?,Tom used the plunger to give Eagle a kiss.,Tom had never intended to give Eagle a real kiss and instead used the plunger as a substitute.
743,S01E21,8665,8930,Why did Eagle ask Tom to choose between two fists?,Eagle had a gift prepared and wanted to surprise Tom.,Eagle wanted to surprise Tom with a proposal as Eagle was attracted to Tom.
744,S01E21,8740,8930,Why did Eagle prepare a ring?,Eagle wanted to give the mouse ring to Tom.,Eagle knew that Tom wanted the mouse and wanted to impress Tom.
745,S01E21,8955,9180,Why did Tom caress Eagle's chin?,Tom wanted to let Eagle think that Tom was giving Eagle a kiss.,Tom wanted Eagle to close eyes for a kiss so that Tom could slam the window in Eagle's face.
746,S01E21,9100,9365,Why did Jerry smile?,Jerry was happy that Tom and Eagle were knocked out.,Jerry was happy that Tom and Eagle were knocked out so Jerry could escape.
747,S01E21,9500,9725,Why did Tom start running?,Tom started running after seeing Eagle smile at Tom.,Tom started running after seeing Eagle's smile to avoid Eagle's flirting.
748,S01E21,9290,9865,Why did Jerry tie a rope around Tom's leg?,Jerry wanted to prevent Tom from running away.,"Jerry wanted to prevent Tom from running away and give Tom to Eagle, so that Jerry could be free."
749,S01E21,9600,9805,Why did Jerry shake Eagle's hands?,Jerry and Eagle successfully prevented Tom from running away.,Jerry and Eagle were celebrating their successful teamwork in preventing Tom from running away.
750,S01E22,585,1029,Why was Spike pouting?,Spike was upset that he was awoken by the noise and got hit.,Spike was awoken by the noise and felt pain from getting hit by Tom who was trying to hit Jerry three times.
751,S01E22,1031,1175,why did spike wake up?,because spike heard loud sounds,because spike heard shooting noises as Tom was firing at Jerry
752,S01E22,1249,1447,Why was Spike pouting?,Spike was upset that he was awoken by the noise and that Tom dropped the gun on Spike.,Spike was awoken by the noise and felt pain from the gun dropping on his head.
753,S01E22,1060,1500,Why did Spike cover his head with the pillow?,Spike was trying to block out noise.,Spike was trying to go back to sleep quietly after being awoken.
754,S01E22,1477,1781,why did tom hit spike with the axe?,because tom was trying to hit jerry and missed jerry,"because jerry was running around spike and dodged when tom swung the axe, causing Spike to be hit."
755,S01E22,2400,2825,why did tom sigh?,because tom was relieved,"because Tom had gotten away after getting scolded by Spike, and Spike was finally settling down and sleeping."
756,S01E22,2709,3075,why did tom chase jerry?,Jerry revealed a crude drawing of Tom and called Tom stinky.,because tom was offended by Jerry's drawing and wanted to catch Jerry.
757,S01E22,2982,3301,why did tom stop running?,because tom got shocked at the sight infront of him,because Jerry was threatening to wake Spike up by banging a spoon and frying pan near Spike's ears.
758,S01E22,3191,3406,why did jerry poke tom with the spoon?,because jerry wanted to provoke tom,Jerry knew that Jerry could provoke Tom and Tom could not do anything as Tom did not want to wake Spike up.
759,S01E22,3381,3698,Why did Tom walk away?,because tom wanted to go to the back of jerry,because tom wanted to grab the utensils from Jerry from behind him
760,S01E22,3818,4104,why did jerry pull the lamp cord?,Jerry wanted to trip Tom with the lamp cord.,Jerry wanted Tom to trip on the lamp cord and crash on the glasses on the table.
761,S01E22,3967,4103,why did tom stay mid air for a while before he dropped?,because tom did not want to land on the  table of breakable wine glasses,because tom tried to push the table out of the way and replace it with a pillow so that tom makes no noise when he falls
762,S01E22,4142,4374,why did tom run to jerry?,Tom wanted to stop Jerry from firing a shotgun above Spike.,Tom did not want Spike to be awoken from the noise as Tom was scared of being hurt by Spike.
763,S01E22,4142,4350,Why did Tom stick his fingers into the gun barrel?,Tom was trying to stop the bullets from making a loud firing noise.,Tom did not want Spike to be awoken from the noise as Tom was scared of being hurt by Spike.
764,S01E22,4254,4387,why was tom's fingers swollen and red?,because tom was in pain.,because tom sticked his hand into the firing gun to stop the gun shots.
765,S01E22,4373,4473,why did tom have a shocked expression?,Tom saw Jerry tilting a grandfather clock.,Tom was afriad that the grandfather clock would crash to the floor and wake Spike up.
766,S01E22,4398,4649,why did tom put his fingers into spike's ears?,because tom did not want spike to wake up from the noise,because the grandfather clock was going to crash loudly and Tom did not want Spike to be awoken from the noise.
767,S01E22,4484,4729,Why did Tom sigh?,Tom was relieved.,Tom was relieved that Spike did not hear the crash and did not wake up.
768,S01E22,4729,4844,why did tom catch the lightbulb?,because tom did not want the the light bulb to break on the ground.,Tom did not want Spike to be awoken from the noise as Tom was scared of being hurt by Spike.
769,S01E22,4881,5158,why did tom run?,because tom wanted to catch all the falling light bulbs,"because tom did not want any one of the light bulbs to fall and break and make any noises, which will wake Spike up."
770,S01E22,5172,5333,why did jerry grab tom's tail?,because jerry wanted to plug tom's tail into the light socket,because jerry wanted the lightbulbs tom was holding on to to light up and inflict pain on Tom.
771,S01E22,5366,5679,why did jerry grab the skateboard?,"because jerry wanted to push a skateboard under Tom's foot, and send him straight into Spike",because jerry wanted Tom to crash into Spike to get Tom into trouble with Spike.
772,S01E22,5366,5679,why did spike wake up?,because tom came crashing onto spike in a skateboard,because of the impact of tom crashing onto spike and the subsequent explosions of all the lightbulbs
773,S01E22,5500,6146,Why did Tom cradle Spike?,because tom wanted to sing a lullaby to spike,because tom wanted to appease Spike and put spike back to sleep
774,S01E22,6105,6845,why did tom grab the bottle of Knock Out Drops?,"because tom wanted to pout the entire bottle of ""Knock Out Drops"" into Spike's mouth ",because tom wanted to put spike to deep sleep such that spike will be asleep a long time and not wake up by noises anymore
775,S01E22,6830,7287,why did jerry bang the drum?,because jerry wanted to make loud noise,because jerry wanted spike to be awoken by the loud noise.
776,S01E22,7263,7633,why did tom use the drums to make loud noises and plop himself onto spike?,because tom wanted to show jerry that spike will not wake up,Tom wanted to let Jerry know that there was no use trying to wake Spike up as Spike was knocked out cold by the knock out drops.
777,S01E22,7263,7633,Why did Jerry's jaw drop?,Jerry was shocked.,Jerry was shocked that Spike was completely knocked out by the knock out drops.
778,S01E22,7704,8184,why did jerry run into the kitchen?,because jerry wanted to get a pen and paper to write a note.,because jerry wanted to write his last will for Tom.
779,S01E22,8088,8300,why did jerry throw the custard pie at tom?,Jerry wanted to create a chance and run away,Jerry wanted to provoke and annoy Tom by throwing a pie at Tom's face and running away.
780,S01E22,8376,8588,why did tom stop running?,Tom was shocked.,Tom was shocked to see Spike growling when Tom thought that Spike was knocked out.
781,S01E22,8800,9200,Why did Jerry scream in Spike's ear and poke Spike with a needle?,Jerry wanted to wake Spike up.,Jerry wanted to wake Spike up so that Spike would go after Tom and that Jerry can be safe from Tom.
782,S01E22,9250,9596,Why did Jerry hand Tom a hammer?,Jerry wanted to trick Tom.,Jerry wanted to take Tom's hammer to hit Tom's foot.
783,S01E22,9600,9720,Why did Tom jump up?,Tom was shocked.,Tom was shocked to see Jerry lighting a large fire cracker under the sleeping Spike.
784,S01E22,9650,10000,Why did Tom try to pull the firecracker from underneath Spike?,Tom was trying to prevent the firecracker from exploding underneath Spike.,Tom did not want the firecracker to explode and wake Spike up.
785,S01E22,9835,10180,Why did Tom push the firecracker under Spike?,Tom was trying to hide the firecracker.,Tom saw that Spike was awake and tried to hide the firecracker to appease Spike.
786,S01E23,975,1200,Why was Jerry smiling?,Jerry was happy.,Jerry was happy to see Tom.
787,S01E23,975,1450,Why did Jerry kick Tom's butt?,Jerry wanted Tom's attention.,Jerry wanted Tom to play with jerry.
788,S01E23,975,1680,Why did Jerry pull Tom's tail?,Jerry wanted Tom's attention.,Jerry was annoyed that Tom had ignored jerry.
789,S01E23,1680,2135,Why did Tom push Jerry away?,Tom did not want to play with Jerry.,Tom was occupied with looking at Toodles.
790,S01E23,1680,1960,Why did jerry climb onto the windowsill?,Jerry wanted to see what tom was looking at,Jerry wanted to figure out why Tom looked out instead of playing with jerry
791,S01E23,1960,2420,Why did Tom have hearts in his eyes?,Tom was looking at Toodles.,Tom was in love with Toodles.
792,S01E23,2380,2635,Why did Toodles drop her handkerchief?,Toodles wanted Tom to pick up her handkerchief for her.,Toodles wanted to flirt with Tom.
793,S01E23,2380,2795,Why did Toodles blow Tom a kiss?,Toodles wanted to thank Tom for picking up her handkerchief.,Toodles was flirting with Tom.
794,S01E23,2635,3015,Why did Tom look happy?,Toodles had blown Tom a kiss.,Tom was in love with Toodles.
795,S01E23,2830,3290,Why did Jerry frown?,Jerry was upset.,Jerry was upset that jerry's friend Tom was spending time with Toodles instead of playing with jerry.
796,S01E23,3290,3535,Why was Tom acting like a dog?,Tom was doing everything that Toodles wanted him to do.,Tom was trying to impress Toodles as Tom was in love with Toodles.
797,S01E23,4260,4565,Why did Jerry whistle?,Jerry wanted Butch's attention.,Jerry wanted Butch to read the love letter
798,S01E23,4425,4900,Why was Butch smiling?,Butch was delighted that a letter came for him.,Butch was delighted that the letter smelt like perfume from a female.
799,S01E23,4615,5260,Why did Butch groom himself?,Butch was going to meet Toodles.,Butch wanted to impress Toodles whom he thought was interested in him.
800,S01E23,5150,5370,Why did Butch jump in joy?,Butch was excited to meet Toodles.,Butch was excited that Toodles was interested in him.
801,S01E23,5460,5715,Why was Tom shocked?,Tom realised tom was kissing Butch instead of Toodles.,Tom did not expect to see Butch.
802,S01E23,5715,5953,Why did Tom hammer Butch on the head?,Tom wanted to inflict pain on Butch.,Tom felt threatened by Butch's presence.
803,S01E23,5880,6350,Why did Butch throw Tom into the swimming pool?,Butch wanted to take revenge on Tom for hitting butch with a hammer.,Butch wanted to get rid of Tom in order to have Toodles' full attention.
804,S01E23,6780,7270,Why did Tom have a mischievous expression?,Tom had thought of a plan to get rid of Butch.,"tom was excited to carry out plan to get rid of Butch, so that Tom can have Toodle's attention."
805,S01E23,6910,7330,Why did Butch look angry?,Butch was angry that he got thrown into the swimming pool.,Butch was angry that Tom had interrupted Butch's time with Toodles.
806,S01E23,7980,8340,Why did Jerry poke Butch with a needle?,Jerry wanted to inflict pain on Butch.,Jerry wanted Butch to think that Tom was the one who poked Butch with the needle in order to sow discord between Butch and Tom.
807,S01E23,7980,8545,Why did Tom scream and run away?,Tom realised that Butch was going to chase tom.,Tom did not want to be caught and beaten up by Butch.
808,S01E23,7980,8545,Why did Butch start chasing Tom?,Butch thought that Tom had poked butch with the needle.,Butch wanted to take revenge on tom for poking butch
809,S01E23,8640,8960,Why did Tom drink all the swimming pool water?,Tom wanted Butch to hit the pool floor.,Tom wanted to inflict pain on Butch to get rid of him.
810,S01E23,9190,9775,Why did Tom look scared?,Tom was on a fast swing.,Tom saw that Butch was about to whack him with a guitar whilst on the swing.
811,S01E23,9900,10215,Why did Tom look happy?,Tom saw Jerry.,Tom and Jerry were good friends.
812,S01E23,9900,10215,Why did Jerry shake Tom's hand?,Jerry was delighted to see Tom.,Jerry wanted to remind Tom about their friendship and to play with Tom.
813,S01E23,10215,10410,Why did Tom look curious?,Tom saw Jerry with a female mouse.,Tom did not expect to see Jerry with a female mouse while playing with Jerry.
814,S01E23,10405,10790,Why was Jerry smiling?,Jerry was happy.,Jerry was in love with the female mouse.
815,S01E23,10405,10935,Why did Jerry push Tom away?,Jerry did not want to play with tom anymore,Jerry fell in love with the female mouse and wanted to stay with the female mouse instead of tom
816,S01E24,1003,1219,why did jerry wake up,because jerry was frightened by a nightmare ,Jerry was was scared as he was being hit by Tom on the head in Jerry's dream.
817,S01E24,1064,1332,why did jerry take a deep breath,because jerry was relieved,because jerry realised Tom hitting Jerry was a nightmare which was not true.
818,S01E24,1358,1633,why did jerry's eyes enlarge,because jerry was shocked ,because jerry opened the door and did not see anyone but just a swaddle in a basket
